KODE APOTIK,Nama,Alamat,NPWP,NPPKP,PBF,SIPA,no_ijin,nama_apj,kode_petugas,delete_reason,Status,Latitude,Longitude,Kode Pos,Provinsi,Kabupaten,Kecamatan,Kelurahan,Kontak,validasi
Apt.GDF,Apotek Gedong Farma,"Dekongan, RT.01/RW.06Gedong, Dekongan, Gedong, Kec. Karanganyar, Kabupaten Karanganyar, Jawa Tengah 57716",,,,,,,,,active,-7.587280115,110.9848759,57716,JAWA TENGAH,,,Karanganyar,,
Apt.GDNS02,Apotek Gedangan Sehat,"Jl. Raya Solo - Baki, Dusun 1, Gedangan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah, 57556",,,,,,,,,active,-7.602596035,110.7985869,57556,JAWA TENGAH,,,Sukoharjo,(0271) 7085372,
Apt.GDR,Apotek Gedaren,"Jl. RAya Klaten Jatinom, Goderan KLT",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,0272 315405,
Apt.GDSH03,Apotek Gudang Sehat,"Jl. Jeruk No.5, Gudang, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah 57311",,,,,,,,,active,-7.533815327,110.6016973,57311,JAWA TENGAH,,,Boyolali,(0276) 321636,
Apt.GDSR,Apotek Kondang Saras,"Jl. Ngembatkembang No.80, Dusun 1, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274",,,,,,,,,active,-7.400587417,110.8288758,50274,JAWA TENGAH,,,Gemolong,0271 7003468,
Apt.GHZF,Apotek Ghaza FArma," Jl. Solo - Sragen, Kebaksari, Kemiri, Kec. Kebakkramat, Kabupaten Karanganyar, Jawa Tengah 57762",,,,,,,,,active,-7.526659627,110.9035602,57762,JAWA TENGAH,,,"Kebakkramat, KRA",0271 2032627,
Apt.GJGR,Apotek Gajah Giri,"JL. Mayor Kusmanto 11 RT 003/08, Klaten, Sungkur, Semangkak, Klaten Tengah, Klaten Regency, Central Java 57415",,,,,,,,tutup permanen,deleted,,,57415,JAWA TENGAH,,,Klaten,0272 328898,
Apt.GJHF,Apotek GAjah FArma,"Jl. Raya Wonogiri-Ponorogo No.A9, Niru Wetan, Ngadirojo Kidul, Kec. Ngadirojo, Kabupaten Wonogiri, Jawa Tengah 57681",,,,,,,,,active,-7.814775799,110.9946591,57681,JAWA TENGAH,,,Wonogiri,0273 5327173,
Apt.GJHMKR,Apotek Gajah Mungkur,"Jalan R. Mohammad Said No.6, Ngaliyan, Singodutan, Kec. Selogiri, Kabupaten Wonogiri, Jawa Tengah 57652",,,,,,,,,active,-7.798857243,110.9080534,57652,JAWA TENGAH,,,Wonogiri,0273 325113,
Apt.GJHN,Apotek Gajahan,"Jl. Brigjen Sudiarto No.85, Danukusuman, Kec. Serengan, Kota Surakarta, Jawa Tengah 57156",,,,,,,,,active,-7.587649712,110.8241124,57156,JAWA TENGAH,,,Surakarta,0271 651025,
APT.GJHPYG,APOTEK GAJAH PAYUNG,"Jatiwoyo, Manyungan, Ngawen",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,,
Apt.GJHSHT,Apotek GAjah Sehat," Jl. Mbelik Gede, Pohgede, Mojoreno, Kec. Sidoharjo, Kabupaten Wonogiri, Jawa Tengah 57682",,,,,,,,,active,-7.846159547,111.0593326,57682,JAWA TENGAH,,,WONOGIRI,"081567851302, 081325786896",
Apt.GLGF,Apotek Galang FArma,"Lemahbang, Karanganyar, Kec. Sambungmacan, Kabupaten Sragen, Jawa Tengah 57253",,,,,,,,tutup permanen,deleted,-7.382014494,111.0766845,57253,JAWA TENGAH,,,Sragen,85725262753,
Apt.GM,Apotek Gama,"Jalan Bestrian Utara Pasar, Simo, Kec. Simo, Kabupaten Boyolali, Jawa Tengah 57377",,,,,,,,,active,-7.438054048,110.6764191,57377,JAWA TENGAH,,,BYL,,
Apt.GMBG,Apotek Gembong,"Jl. Matesih-Jatiyoso, Karangnongko, Tunggulrejo, Kec. Jumantono, Kabupaten Karanganyar, Jawa Tengah 57782",,,,,,,,,active,-7.65845534,111.0422406,57782,JAWA TENGAH,,,KRA,0271 495269 / 082121527128,
Apt.gmf,Apotek Gema Farma,"Unnamed Road, Sibedug, Kb. Agung, Kec. Kajen, Kabupaten Pekalongan, Jawa Tengah 51161",,,,,,,,,active,-7.025913477,109.5771533,51161,JAWA TENGAH,,,PEKALONGAN,,
Apt.GMPG,Apotek Gamping,"Jl. Wandyo Pranoto No.44, Gamping, Joho, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57513",,,,,,,,,active,-7.689784043,110.8403594,57513,JAWA TENGAH,,,Sukoharjo,0271 591466,
Apt.GNDBR,Apotek Gondang Baru,"Jl. Gonggang - Karangudi, Gondang, Kec. Gondang, Kabupaten Sragen, Jawa Tengah 57254",,,,,,,,,active,-7.407566028,111.1066754,57254,JAWA TENGAH,,,Sragen,,
Apt.GNDK,Apotek Gundih,"Geyer, Ledokdawan, Kec. Geyer, Kabupaten Grobogan, Jawa Tengah 58172",,,,,,,,,active,-7.211339012,110.9028193,58172,JAWA TENGAH,,,PWD,85641615761,
Apt.GNDSR,Apotek Gondosari,"Jl. Gondosari-Ploso, Bungur, Gondosari, Kec. Punung, Kabupaten Pacitan, Jawa Timur 63553",,,,,,,,,active,-8.110883588,111.0817746,63553,JAWA TENGAH,,,Pacitan,"087758316877, 087702342299",
Apt.GNFRM,Apotek Ghani FArma,"Jl. DI Panjaitan, Gilingan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57134",,,,,,,,,active,-7.555286099,110.8293357,57134,JAWA TENGAH,,,Surakarta,0271 653069 / 085728728021,
Apt.GNGJT,Apt. Gunung Jati (Gito Tjahjono),"Jl. MT Haryono No.53, Manahan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57139",,,,,,,,,active,-7.553807293,110.8121809,57139,JAWA TENGAH,,,Solo,0271 2103009,
Apt.GNGN,Apotek Gronong,"Jl. Wandyo Pranoto No.8, Gronong, Mandan, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57513",,,,,,,,,active,-7.696753643,110.8381519,57513,JAWA TENGAH,,,Sukoharjo,,
Apt.GNPF,Apotek GNP Farma,"Jl. Raya Palur - Tawangmangu no.150, Palur Wetan, Palur, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.57187677,110.8796701,57554,JAWA TENGAH,,,KRA,,
Apt.GNS,Apotek Ganesa,"Jalan Osamaliki No.34, Salatiga, Sidorejo, Mangunsari, Kec. Sidomukti, Kota Salatiga, Jawa Tengah 50721",,,,,,,,,active,-7.329096411,110.4951913,50721,JAWA TENGAH,,,Salatiga,0298 313681,
Apt.GNT02,Apotek Gentan,Jl. Songgolangit No. 7 Gentan,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sukoharjo,(0271) 7650542,
Apt.godog,Apotek Godog,"Godog rt 3 rw 4 Polokarto, sukoharjo",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,SUKOHARJO,,
Apt.GRF,Apotek Gambiran Rapi Farma,"Jl. Raya Sukowati KM2,SRG",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sragen,0271 7551379,
Apt.GRHSD1,Apotek Giri Husada I,"Jl. Pemuda I No.6, Sabggrahan, Giripurwo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",,,,,,,,,active,-7.813965285,110.9246004,57612,JAWA TENGAH,,,Wonogiri,(0273) 321070,
Apt.GRHSD2,Apotek Giri Husada II,"Jl. Sri Rejeki No.13, Batu Lor, Baturetno, Kec. Baturetno, Kabupaten Wonogiri, Jawa Tengah 57673",,,,,,,,,active,-7.979549254,110.9342585,57673,JAWA TENGAH,,,Wonogiri,(0273) 462350,
Apt.GRMPL,Apotek Grompol,Jl. Sragen Km 16 Grompol,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Sragen,0271 758433,
Apt.GRMT,Apotek Gremet,"Jl. Samratulangi No.45C, Kerten, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57139",,,,,,,,,active,-7.559984693,110.7962694,57139,JAWA TENGAH,,,,,
Apt.GRMTF,Apotek Girimarto FArma,"Geneng, Tambakmerang, Kec. Girimarto, Kabupaten Wonogiri, Jawa Tengah 57683",,,,,,,,,active,-7.787191431,111.0827343,57683,JAWA TENGAH,,,,,
Apt.GRSHT,Apotek Giri Sehat,"Jl. Diponegoro No.50, Pokoh, Wonoboyo, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57615",,,,,,,,,active,-7.813154271,110.9351905,57615,JAWA TENGAH,,,Wonogiri,0273 322171,
Apt.GRWN,Apotek Giriwono Farma,"Jl. R. Moh. Said No.9, Wonokarto Selatan, Wonokarto, Kec. Wonogiri, Kabupaten Wonogiri, Jawa Tengah 57612",,,,,,,,,active,-7.80414718,110.9155944,57612,JAWA TENGAH,,,Wonogiri,(0273) 321141,
Apt.GRWN2,Apotek Giriwono 2,"Jl. Jatisrono - Jatiroto, RT.01/RW.01, Jatisari, Kec. Jatisrono, Kabupaten Wonogiri, Jawa Tengah 57691",,,,,,,,,active,-7.828823642,111.1274912,57691,JAWA TENGAH,,,Wonogiri,85728282711,
Apt.Gryfrm,Apotek Griya Farma Boyolali,ngadirejo rt 3/ XII penggung Boyolali,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BOYOLALI,,
Apt.GRYHSD,"Apotek Griya Husada, KTS","Jl. Slamet Riyadi No.150, Dusun IV, Kartasura, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169",,,,,,,,,active,-7.557485751,110.7457034,57169,JAWA TENGAH,,,Kartosura,0271 781536,
Apt.GRYSHA,Apotek Griya Sehat,"Jl. Mangu, Dusun 1, Glonggong, Kec. Nogosari, Kabupaten Boyolali, Jawa Tengah 57378",,,,,,,,,active,-7.58581433,110.8152487,57378,JAWA TENGAH,,,Boyolali,82323289494,
Apt.GSF03,Apotek Graha Sehat Farma,"Jl. Adi Sucipto No.101, Blukukan Dua, Blulukan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57174",,,,,,,,,active,-7.540037982,110.7627946,57174,JAWA TENGAH,,,Karanganyar,(0271) 7685968,
Apt.Gtn,Apotek Gaten,"Jl. Karanganom, Dusun 2, Mayungan, Kec. Ngawen, Kabupaten Klaten, Jawa Tengah 57466",,,,,,,,,active,-7.678755156,110.6134959,57466,JAWA TENGAH,,,KLATEN,,
Apt.GTSBT,Apotek Gatot Subroto,"Jl. Gatot Subroto No.289A, Kratonan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57153",,,,,,,,,active,-7.580987906,110.8181763,57153,JAWA TENGAH,,,Surakarta,,
Apt.GWK01,Apotek Gawok,"Jalan Raya Pasar Gawok No.08, Dusun II, Luwang, Kec. Gatak, Kabupaten Sukoharjo, Jawa Tengah 57667",,,,,,,,,active,-7.58975877,110.7451169,57667,JAWA TENGAH,,,Sukoharjo,(0271) 7927088,
Apt.GYMDC,Apotek Griya Medika,"Jl. Raya Djlopo Blok GE No.27, Dusun 2, Gedangan, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.609269366,110.8014929,57552,JAWA TENGAH,,,Sukoharjo,0271-6727268,
Apt.GYTF,Apotek Gayatri Farma,"Jl. Raya Nguter No.56, Dusun II, Nguter, Kec. Nguter, Kabupaten Sukoharjo, Jawa Tengah 57571",,,,,,,,tutup permanen,deleted,-7.745669973,110.8787942,57571,JAWA TENGAH,,,,,
Apt.GZ,Apotek GAza Sehat,"Jalan Masjid Mesar 62 RT 2/VI, Kauman, Suruh, Kec. Suruh, Kabupaten Semarang, Jawa Tengah 50776",,,,,,,,,active,-7.366093231,110.5675193,50776,JAWA TENGAH,,,SALATIGA,,
Apt.H001,Apotek Henny Farma,"Jl. Solo - Jogja No.266, Rejosari, Sabrang, Kec. Delanggu, Kabupaten Klaten, Jawa Tengah 57472",,,,,,,,,active,-7.62397315,110.6971315,57472,JAWA TENGAH,,,Delanggu,(0272) 3107298,
Apt.HANA,"Apotek Hana, SKH","Jl. Sukoharjo - Mulur, Jatirejo, Mulur, Kec. Bendosari, Kabupaten Sukoharjo, Jawa Tengah 57528",,,,,,,,,active,-7.688329101,110.862961,57528,JAWA TENGAH,,,Sukoharjo,,
Apt.HD,Apotek Hadji,"JL Solo-Purwodadi, Km. 12, RT. 003 RW. 001, Gondangerejo, Kec. Karanganyar, 50274",,,,,,,,,active,-7.470932001,110.8071702,50274,JAWA TENGAH,,,KRA,0271 5871208,
Apt.HDSHT,Apotek Hidup Sehat,"Jl. Honggowongso No.126, Panularan, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57149",,,,,,,,,active,-7.575864322,110.8155177,57149,JAWA TENGAH,,,,,
Apt.HIDR,Apotek Haidar,"Geblug RT.1/7,, Dk. Gebluk, Dukuh, Kec. Mojolaban, Kabupaten Sukoharjo, Jawa Tengah 57554",,,,,,,,,active,-7.590879465,110.8626957,57554,JAWA TENGAH,,,Sukoharjo,,
Apt.hikhwn,Apotek Hikmah Wonosegoro,"Jalan Raya, Dusun III, Wonosegoro, Boyolali Regency, Central Java 57382",,,,,,,,,active,-7.30528468,110.667346,57382,JAWA TENGAH,,,BOYOLALI,,
Apt.hikmah,Apotek Hikmah CEpogo,dk. Bendosari rt 4 rw 1 Cepogo BYL,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BOYOLALI,,
Apt.HKMH,Apotek Hikmah,"Magersari Lor, Mojo, Kec. Andong, Kabupaten Boyolali, Jawa Tengah 57384",,,,,,,,,active,-7.373919715,110.7618506,57384,JAWA TENGAH,,,Boyolali,0271 9133587,
Apt.hkmhby,Apotek Hikmah Farma Kemusu,Dk. Ngeksiharjo RT 6 RW 1 Klewor kemusu BYL,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BOYOLALI,,
Apt.hkmhse,Apotek Hikmah Sehat Waras (WAHYU AJI),"Jl. Raya Kalioso, Kliwonan, Jeron, Kec. Nogosari, Kabupaten Boyolali, Jawa Tengah 57378",,,,,,,,,active,-7.464043746,110.804181,57378,JAWA TENGAH,,,BOYOLALI,,
Apt.hkmsht,Apotek Hikmah Sehat Andong(Muhamad EE),"Tegalrejo, Andong, Kec. Andong, Kabupaten Boyolali, Jawa Tengah",,,,,,,,,active,-7.361700361,110.7409272,,JAWA TENGAH,,,BOYOLALI,,
Apt.HLMHR,Apotek Halmahera,"Jl. Halmahera No.23, Tegalmulyo, Kabupaten, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57413",,,,,,,,,active,-7.705245505,110.6049579,57413,JAWA TENGAH,,,Klaten,8562869485,
Apt.HMDF,Apotek Hamida Farma,"Jl. Jatinom - Boyolali, Tangkilan, Jatinom, Kec. Jatinom, Kabupaten Klaten, Jawa Tengah 57482",,,,,,,,,active,-7.592477205,110.6214342,57482,JAWA TENGAH,,,Klaten,,
Apt.HMMM,Apotek Hammam,"Pasar sonorejo, Dusun Kebayanan 2, Bedoro, Kec. Sambungmacan, Kabupaten Sragen, Jawa Tengah 57253",,,,,,,,,active,-7.378255563,111.0996207,57253,JAWA TENGAH,,,Sragen,,
Apt.HNS,Apotek Hanesa,"Jl. Adi Sumarmo No.320, Plalangan, Klodran, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57172",,,,,,,,,active,-7.535195768,110.7949773,57172,JAWA TENGAH,,,"Colomadu, KRA",85747756742,
Apt.HRF,Apotek Harish Farma,"Dusun I, Singopuran, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57165",,,,,,,,,active,-7.545029214,110.7443819,57165,JAWA TENGAH,,,Kartosuro,0271 8091122/085108491122,
Apt.hrfrm,Apotek Hero Farma,"Jl. Ngemplak, Ngampo, Kismoyoso, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,,active,-7.502555533,110.7968352,57375,JAWA TENGAH,,,BOYOLALI,,
Apt.hrmin,Apotek Haramain kr.dowo,"Grujugan, Kupang, Kec. Karangdowo, Kabupaten Klaten, Jawa Tengah 57464",,,,,,,,,active,-7.679579542,110.7514911,57464,JAWA TENGAH,,,KLATEN,,
Apt.HSD,Apotek Husada,"Jl. R.Suprapto No.15, Jengglong Selatan, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",,,,,,,,,active,-7.084503223,110.9144772,58111,JAWA TENGAH,,,Purwodadi,0292 423770,
Apt.HSDNML,Apotek Husada Nirmala,"Jl. Mriwis No.34, Tegalblateran, Bareng, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57414",,,,,,,,,active,-7.703348963,110.6054567,57414,JAWA TENGAH,,,Klaten,0272 322075,
Apt.HSDSNT,"Apotek Husada Sentosa, SKH","Jl. Patimura No.22a, RT.01, Dua, Kateguhan, Kec. Tawangsari, Kabupaten Sukoharjo, Jawa Tengah 57561",,,,,,,,,active,-7.735433097,110.7955128,57561,JAWA TENGAH,,,Sukoharjo,(0272)881149 / 081390747550,
Apt.HSN,Apotek Hasaini," Sanggrahan, Donohudan, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,tutup permanen,deleted,-7.517955639,110.7851816,57375,JAWA TENGAH,,,Karanganyar,,
Apt.Hwgfrm,Apotek Hawaghi farma,"Bayangkara, Siswodipuran, Kec. Boyolali, Kabupaten Boyolali, Jawa Tengah",,,,,,,,,active,-7.545975316,110.6053751,,JAWA TENGAH,,,BOYOLALI,,
APT.IBND,"Apotek Ibunda, Jatisrono","Jl. Slogohimo, Jatisari, Kec. Jatisrono, Kabupaten Wonogiri, Jawa Tengah 57691",,,,,,,,,active,-7.829232117,111.1275282,57691,JAWA TENGAH,,,WNG,081326968518 / 082138914972,
Apt.IDMSHT,Apotek Idaman Sehat,"Jl. Adi Sumarmo No.57, Banukan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177",,,,,,,,,active,-7.539000038,110.745832,57177,JAWA TENGAH,,,"Colomadu, KRA",85647129205,
Apt.IDRF,Apotek Indria Farma,"Jl. Klaten-Jogja, Tegalmas, Prawatan, Kec. Jogonalan, Kabupaten Klaten, Jawa Tengah 57452",,,,,,,,,active,-7.728567339,110.5489981,57452,JAWA TENGAH,,,"Jogonalan, Klaten",,
APT.IFN,APOTEK IFANA,"Jl. Tembus Barat, Tugu Lor, Tugu, Kec. Cawas, Kabupaten Klaten, Jawa Tengah 57463",,,,,,,,,active,-7.770571189,110.6978606,57463,JAWA TENGAH,,,KLATEN,85725336035,
Apt.INDKF,"Apotek Indika FArma, SKH","Jl. Sragen-Balong, Dusun II, Blimbing, Kec. Gatak, Kabupaten Sukoharjo, Jawa Tengah 57557",,,,,,,,,active,-7.591136099,110.7449972,57557,JAWA TENGAH,,,Sukoharjo,081548686854/Indira,
Apt.INSMDK,Apotek Insan Medika,"Jl. Gn. Slamet No.62, Mojosongo, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136",,,,,,,,tutup permanen,deleted,,,57136,JAWA TENGAH,,,Surakarta,,
Apt.INTF,Apotek Intan Farma,"Jl. Dr. Setia Budi, Magero, Sragen Tengah, Kec. Sragen, Kabupaten Sragen, Jawa Tengah 57211",,,,,,,,,active,-7.430582369,111.0222635,57211,JAWA TENGAH,,,Sragen,0271 891526,
Apt.ISFRM,Apotek Isna FArma,"Jl. Raya Telukan, RT.01/RW.09, Sawah, Parangjoro, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.628703317,110.8095317,57552,JAWA TENGAH,,,Sukoharjo,,
Apt.isyfi,Apotek Isyfi,"Jl. Kacangan - Pelemrejo, Kacangan, Kec. Andong, Kabupaten Boyolali, Jawa Tengah 57384",,,,,,,,,active,-7.381762416,110.7806131,57384,JAWA TENGAH,,,BOYOLALI,,
Apt.JAGO,"Apotek Jago, Purwodadi","Jl. A. Yani No.2, Jengglong Selatan, Purwodadi, Kec. Purwodadi, Kabupaten Grobogan, Jawa Tengah 58111",,,,,,,,,active,-7.083290979,110.9146025,58111,JAWA TENGAH,,,Purwodadi,0292 421844,
Apt.JGLF01,Apotek Joglo Farma,"Jl. Sumpah Pemuda No.52, Kadipiro, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57136",,,,,,,,,active,-7.540499623,110.8252049,57136,JAWA TENGAH,,,Solo,(0271) 5868520,
Apt.JHFRM,"Apotek Joho FArma, SKH","Johorbarumakmur, Joho, Kec. Sukoharjo, Kabupaten Sukoharjo, Jawa Tengah 57513",,,,,,,,tutup permanen,deleted,,,57513,JAWA TENGAH,,,Sukoharjo,0271 6594690,
Apt.JJR01,Apotek Jajar,Jl. Prof. Dr. Soeharso 51,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Surakarta,(0271) 5813576,
Apt.JMS,apotek Jamus,"Jalan Batujamus, Kuto, Kerjo, Karanganyar Regency, Central Java 57292",,,,,,,,,active,-7.536993149,111.0466351,57292,JAWA TENGAH,,,Sragen,85647421921,
Apt.JRJR,Apotek Jurang Jero,"JL. Karanganom-Ponggok, KM. 1, 5, Kelasman, Tonggalan, Kec. Klaten Tengah, Kabupaten Klaten, Jawa Tengah 57412",,,,,,,,,active,-7.711815903,110.5954534,57412,JAWA TENGAH,,,Klaten,085328006348 (M` Dodok),
Apt.JSR01,Apotek Jamsaren,"Jl. Veteran No.253, Serengan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57155",,,,,,,,,active,-7.580963646,110.816208,57155,JAWA TENGAH,,,Surakarta,(0271) 636187,
Apt.JTBR,Apotek Jati Baru,"Jl. Danliris No.4, Turi, Cemani, Kec. Grogol, Kabupaten Sukoharjo, Jawa Tengah 57552",,,,,,,,,active,-7.57628034,110.8038735,57552,JAWA TENGAH,,,Sukoharjo,0271 733942,
Apt.JTFRM,Apotek Jati Farma,"Jl. Solo - Purwodadi, Dusun 1, Gemolong, Kec. Gemolong, Kabupaten Sragen, Jawa Tengah 50274",,,,,,,,tutup permanen,deleted,,,50274,JAWA TENGAH,,,Gemolong,0271 7587592,
Apt.JTNF,Apotek JAtinom Farma,"Jl. Raya Jatinom-Boyolali, Dusun I, Bonyokan, Kec. Jatinom, Kabupaten Klaten, Jawa Tengah 57481",,,,,,,,,active,-7.633344605,110.6020418,57481,JAWA TENGAH,,,Klaten,0272 337492,
Apt.JTSHT,Apotek JAti Sehat,Krajan 2/4 Jurang Jero,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Klaten,81567990517,
APT.JTSRN,Apotek Jatisrono (Ari Hariyani),"Jatisrono, Wonogiri",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,WONOGIRI,,
Apt.JVS,Apotek Javad-Sam,"Jl. Raya Boyolali-Semarang No.141, Dusun 2, Kaligentong, Kec. Ampel, Kabupaten Boyolali, Jawa Tengah 57352",,,,,,,,,active,-7.451853751,110.5431837,57352,JAWA TENGAH,,,Ampel-BYL,0276 331191,
Apt.JWRFRM,"Apotek Juwiring Farma, Pedan","Pasar Losari,, Jl. Juwiring - Pedan, Dusun I, Bulurejo, Kec. Juwiring, Kabupaten Klaten, Jawa Tengah 57472",,,,,,,,,active,-7.651860307,110.7240696,57472,JAWA TENGAH,,,Klaten,81548580260,
Apt.JYF,Apotek Jaya Farma," Jl. Raya Sragen - Balong, Pelem Gadung, Kec. Karangmalang, Kabupaten Sragen, Jawa Tengah  57222",,,,,,,,,active,-7.431099495,111.0548681,57222,JAWA TENGAH,,,Sragen,"0271 890667, 081392835027",
Apt.JYMLY,Apotek Jati Mulia,"Krompakan Rt 03/9 Ketipang, BYL",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,BYL,0271 8037980,
Apt.JYSHT,"Apotek Jaya Sehat, Salatiga",Gudang Sekti RT30/RW 10 Sruwen,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Salatiga,0276 331138,
Apt.JYTK,Apotek Joyontakan,"Jl. KH. Wahid Hasyim No.44, Joyotakan, Kec. Serengan, Kota Surakarta, Jawa Tengah 57157",,,,,,,,,active,-7.590700201,110.8186244,57157,JAWA TENGAH,,,"Surakarta,",(0271) 5888398,
Apt.k24jeb,Apotek K24 Jebres,"Jl. Ir. Sutami No.81, Jebres, Kec. Jebres, Kota Surakarta, Jawa Tengah 57126",,,,,,,,,active,-7.563928069,110.8547602,57126,JAWA TENGAH,,,SURAKARTA,,
Apt.k24nus,Apotek K 24 Nusukan,"Jl. Kapten Piere Tendean No.106, Nusukan, Kec. Banjarsari, Kota Surakarta, Jawa Tengah 57135",,,,,,,,,active,-7.541671074,110.8205637,57135,JAWA TENGAH,,,SURAKARTA,,
APT.KAF,APOTEK KAF,"Jl. Esemka, Jatisari, Sobokerto, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,,active,-7.492821696,110.7333213,57375,JAWA TENGAH,,,BYL,85725097725,
Apt.KBF,Apotek Keboagung Farma,"Jl. Raya Kebonagung, Kec. Kebonagung",,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,Pacitan,085335454594 ( Sania ),
Apt.KCGN,Apotek Kacangan,"Jl. Gatot Subroto/Raya Mojo, Kacangan, Mojo, Kec. Andong, Kabupaten Boyolali, Jawa Tengah 57384",,,,,,,,,active,-7.37540767,110.7677065,57384,JAWA TENGAH,,,Boyolali,81393347325,
Apt.KCR02,Apotek Kuncoro,"Jl. Raya Daleman Karangdowo No.175, Rw. III, Jetis, Kec. Baki, Kabupaten Sukoharjo, Jawa Tengah 57556",,,,,,,,,active,-7.621464072,110.7671353,57556,JAWA TENGAH,,,Sukoharjo,(0271) 624002,
Apt.KDJ,APOTEK KHADIJAH FARMA,"Dusun III, Randusari, Kec. Teras, Kabupaten Boyolali, Jawa Tengah 57372",,,,,,,,,active,-7.540064256,110.6461476,57372,JAWA TENGAH,,,BYL,82166246178,
Apt.KDSHT,Apotek Kedung Sehat,"Kedung, Genengadal, Kec. Toroh, Kabupaten Grobogan, Jawa Tengah",,,,,,,,,active,-7.168373175,110.8775886,,JAWA TENGAH,,,Grobogan,81215825598,
Apt.kenfrm,Apotek Ken Farma,"Mojosongo, Kec. Jebres, Kota Surakarta, Jawa Tengah",,,,,,,,,active,-7.535148134,110.8356181,,JAWA TENGAH,,,SURAKARTA,,
Apt.kfc,Apotek Kimia Farma Cendrawasih172,jl. koti no. 36,,,,,,,,tidak ditemukan,deleted,,,,JAWA TENGAH,,,JAYAPURA,,
apt.KFF,Apotek Kafa Farma,"Jl. Cendrawasih Blok B No.5, Mranggen, Sawahan, Kec. Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375",,,,,,,,,active,-7.526620937,110.7955066,57375,JAWA TENGAH,,,Boyolali,0271 5864848,
Apt.KFJBRS,PT. Kimia Farma Apotek,"Jl. Budi Utomo No.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",,,,,,,,,active,-6.167363366,106.8361363,10710,JAWA TENGAH,,,Jakarta Pusat,"0271 633313, 639402",
Apt.kgk,Apotek Keluargaku,"Jl. Sukoharjo - Karanganyar No.RT.02, RT.02/RW.01, Ngasem, Kemasan, Kec. Polokarto, Kabupaten Sukoharjo, Jawa Tengah 57555",,,,,,,,,active,-7.654976045,110.887633,57555,JAWA TENGAH,,,sUKOHARJO,,
